lat,lng
5.6700,-0.3080
7.7810,-1.2300
6.2000,-2.4830
6.3120,-2.9360
7.5110,-2.5490
7.9000,-1.7670
9.1240,-1.2720
5.4330,-2.1430
5.8230,-2.8220
10.8960,-1.0920
7.3830,-2.8700
7.7100,-1.5550
7.2180,-2.9280
7.5710,-1.7090
6.2210,-2.7560
7.9670,-1.7390
5.4420,-2.0770
5.3510,-0.6230
6.5810,-1.6950
9.4430,-0.0100
7.7500,-1.5000
7.8970,-1.8740
7.1850,-2.8980
7.4050,-2.4700
4.8840,-1.7550
7.7780,-1.3410
6.2620,-0.5060
7.4530,-2.5840
5.3060,-1.9850
7.2830,-2.8830
5.9660,-1.7800
7.6420,-0.6200
8.0560,-1.7310
7.7320,-0.6770
6.6500,0.6170
5.3250,162.9810
6.9240,158.1620
7.4540,151.8050
6.9640,158.2060
9.5380,138.0970
16.8330,-88.4670
16.3330,-88.8670
18.2170,-88.3170
-13.5000,34.0000
9.5000,2.2500
-6.0000,35.0000
1.0000,38.0000
1.2500,32.5000
8.5000,-11.5000
44.0000,17.5830
44.9330,17.1830
13.9960,-61.0060
11.5890,43.1450
-18.8330,27.4170
-19.2000,29.8000
-17.1670,29.7500
7.4940,134.6350
-21.1390,-175.2020
-8.5170,179.1310
-13.8330,-171.7670
7.0900,171.3800
1.4200,172.9840
6.9240,158.1620
-17.7340,168.3220
-9.4330,159.9500
-18.0000,178.3330
-9.4430,147.1800
34.5000,9.0000
34.0000,8.0830
33.6670,10.3490
33.5000,8.8330
-18.0000,178.0000
-16.8030,179.3410
-18.1420,178.4410
-17.9390,177.2620
-17.8000,177.4170
-17.8450,178.0190
-18.0000,180.0000
-18.9670,178.2670
-12.5110,177.0450
-16.7800,179.3360
-16.5500,179.2500
-8.5170,37.3670
-8.6000,35.2830
-8.4000,36.3500
-8.0000,35.8500
12.2500,43.0840
11.5600,43.0600
12.0000,42.5000
13.1760,-86.6120
12.9230,-85.8390
12.1060,-85.3650
13.7590,-86.0180
